host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number,predicted_price,listing_id,host_listings_count,host_total_listings_count,review_scores_rating,review_scores_value,review_scores_accuracy,review_scores_checkin,calculated_host_listings_count
f,t,f,Geuzenveld - Slotermeer,52.37899,4.8349400000000005,Entire home/apt,4,1.0,1.0,95.0,4,4,f,0.07,13,126.90343330838346,286374,1.0,1.0,100.0,10.0,10.0,10.0,1
f,t,f,Centrum-West,52.375609999999995,4.9,Private room,2,1.0,1.0,72.0,3,2,t,2.64,22,103.77836410405962,286500,2.0,2.0,98.0,9.0,10.0,10.0,2
f,t,t,De Baarsjes - Oud-West,52.36192,4.85551,Private room,3,1.0,3.0,35.0,2,2,f,4.78,22,88.59855938369856,288967,0.0,0.0,96.0,10.0,9.0,10.0,1
t,t,f,Centrum-West,52.38037,4.88021,Private room,2,1.0,1.0,91.0,3,3,f,2.22,25,112.08289888936838,289071,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,f,Centrum-West,52.375609999999995,4.9,Private room,2,1.0,1.0,72.0,3,2,t,3.08,23,102.84202021609235,290701,2.0,2.0,97.0,10.0,10.0,10.0,2
f,t,t,Watergraafsmeer,52.352509999999995,4.94338,Private room,2,1.0,1.0,80.0,2,2,f,0.08,14,71.89017985246892,291637,2.0,2.0,93.0,9.0,10.0,10.0,2
t,t,t,Oud-Oost,52.35279,4.91256,Private room,2,1.0,1.0,105.0,3,3,f,1.96,10,76.00884018705665,291752,1.0,1.0,97.0,9.0,10.0,10.0,1
f,t,t,Oud-Noord,52.38171,4.9144,Private room,2,1.0,1.0,115.0,7,7,f,0.24,24,78.75316881244089,293337,2.0,2.0,95.0,9.0,10.0,10.0,1
f,t,t,Oud-Noord,52.387440000000005,4.9096,Entire home/apt,3,2.0,3.0,74.0,1,1,f,0.08,11,133.834085224903,293514,1.0,1.0,92.0,9.0,9.0,9.0,1
t,t,t,Bos en Lommer,52.37988,4.85711,Entire home/apt,2,1.0,1.0,113.0,2,2,t,0.04,14,110.64356030364002,294453,1.0,1.0,100.0,9.0,9.0,10.0,2
f,t,f,Centrum-West,52.37154,4.87596,Entire home/apt,4,1.0,2.0,125.0,3,3,f,0.78,14,171.3238277710243,301220,1.0,1.0,96.0,9.0,9.0,10.0,1
f,t,t,Centrum-West,52.37997,4.88707,Entire home/apt,5,2.0,3.0,112.0,5,5,f,0.13,30,218.8700869864474,302426,1.0,1.0,97.0,10.0,10.0,10.0,1
