host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
f,t,t,Oud-Oost,52.35409,4.91289,Entire home/apt,2,1.0,1.0,150.0,2,2,f,0.29,27
f,t,t,Westerpark,52.39134,4.89067,Private room,2,1.0,1.0,85.0,2,2,f,5.31,35
f,t,f,Slotervaart,52.34932,4.83133,Private room,2,1.0,1.0,100.0,2,2,f,0.79,17
f,t,t,De Baarsjes - Oud-West,52.37066,4.86025,Entire home/apt,4,3.0,3.0,200.0,3,3,f,0.53,22
f,t,t,Bos en Lommer,52.37594,4.8501,Entire home/apt,5,2.0,4.0,79.0,2,2,f,0.95,12
f,t,f,Slotervaart,52.3526,4.84468,Entire home/apt,4,2.0,2.0,225.0,3,3,f,0.23,35
f,t,t,Westerpark,52.38303,4.87512,Entire home/apt,2,1.0,1.0,168.0,5,5,f,0.22,25
f,t,t,Zuid,52.35364,4.87824,Entire home/apt,5,3.0,3.0,120.0,5,5,f,0.13,27
t,t,t,Zuid,52.35434,4.87599,Private room,3,2.0,3.0,140.0,3,3,f,1.3,32
f,t,t,Westerpark,52.3848,4.87726,Entire home/apt,2,1.0,1.0,76.0,6,6,f,0.94,19
f,t,t,Watergraafsmeer,52.35502,4.93512,Entire home/apt,2,1.0,1.0,120.0,5,5,t,0.07,13
f,t,f,Noord-Oost,52.3955,4.99576,Private room,4,1.0,2.0,120.0,2,2,f,0.07,35
f,t,f,Centrum-Oost,52.36057,4.89632,Entire home/apt,4,1.0,1.0,145.0,3,3,f,1.8,8
f,t,f,Zuid,52.35022,4.8525,Entire home/apt,4,2.0,1.0,159.0,5,5,f,0.76,39
f,t,f,De Baarsjes - Oud-West,52.36138,4.85545,Entire home/apt,5,4.0,3.0,120.0,6,6,f,0.33,19
f,t,t,Centrum-West,52.37813,4.88594,Entire home/apt,2,1.0,1.0,160.0,3,3,f,0.23,20
f,t,t,Bos en Lommer,52.37762,4.85285,Entire home/apt,4,3.0,3.0,180.0,5,5,f,0.26,14
t,t,t,De Baarsjes - Oud-West,52.36463,4.87424,Entire home/apt,2,2.0,3.0,179.0,20,20,f,0.16,19
f,t,t,Westerpark,52.39139,4.88874,Private room,2,1.0,1.0,110.0,2,2,f,4.11,17
f,t,f,De Baarsjes - Oud-West,52.37306,4.86193,Entire home/apt,2,1.0,2.0,110.0,2,2,f,0.56,14
